text,tag1,tag2,tag3,tag4,tag5,token_usage
"Our adventurer became less frequent in his visits, and more indifferent in hislanguage and deportment; while Madam la Mer gradually relaxed in thatcomplacency and respect with which she had hitherto behaved towards her fairlodger. She even began to drop hints of disapprobation and reproach againstthis pattern of innocence and beauty, and at length grew bold enough to tellher, that her misfortunes could be attributed to nothing but her own obstinacyand pride; that she had been at great pains to disoblige the only person whowas able and willing to raise her above dependence; and that, if his protectionshould be withdrawn, she must be exposed to the utmost extremity of distress.These insinuations, instead of producing the desired effect, inflamed theindignation of Monimia, who, in a most dignified style of rebuke, chid her forher indelicacy and presumption, observing, that she could have no title to takesuch freedoms with lodgers, whose punctuality and regular deportment left herno room to complain. Notwithstanding this animated reply, she underwent themost deplorable anguish, when she reflected upon the insolence of this woman,from whose barbarity she had no resource; and, seeing no other possibility ofredress than that of appealing to the good offices of Fathom, she conquered herreluctance so far, as to complain to him of Madam la Mer’s incivility.",indifference,disapproval,presumption,anguish,reluctance,0.00093
"Before this affair could be brought to a proper explanation, the season beingalmost ended, the ladies departed from Tunbridge, and in a little time DoctorFathom followed them to London, having previously obtained permission to visitthem in that metropolis. He had solicited the same favour of some otherfamilies, in which he hoped to take root, though he knew they were pre-engagedto different physicians; and resolving to make his first medical appearance inLondon with some eclat, he not only purchased an old chariot, which was newpainted for the purpose, but likewise hired a footman, whom he clothed in lacedlivery, in order to distinguish himself from the common run of his brethren.This equipage, though much more expensive than his finances could bear, hefound absolutely necessary to give him a chance for employment; as every shabbyretainer to physic, in this capital, had provided himself with a vehicle, whichwas altogether used by way of a travelling sign-post, to draw in customers; sothat a walking physician was considered as an obscure pedlar, trudging fromstreet to street, with his pack of knowledge on his shoulders, and selling hisremnants of advice by retail. A chariot was not now set up for the convenienceof a man sinking under the fatigue of extensive practice, but as a piece offurniture every way as necessary as a large periwig with three tails; and aphysician, let his merit, in other respects, be never so conspicuous, can nomore expect to become considerable in business, without the assistance of thisimplement, than he can hope to live without food, or breathe without awindpipe.",anticipation,expensive,necessity,competition,conspicuous,0.00093
"These reflections, which, perhaps, the misery of his fellow-creatures wouldnever have inspired, had he himself remained without the verge of misfortune,were now produced from the sensation of his own calamities; and, for the firsttime, his cheeks were bedewed with the drops of penitence and sorrow.“Contraries,” saith Plato, “are productive of each other.” Reformation isoftentimes generated from unsuccessful vice; and our adventurer was, at thisjuncture, very well disposed to turn over a new leaf in consequence of thosesalutary suggestions; though he was far from being cured beyond the possibilityof a relapse. On the contrary, all the faculties of his soul were so welladapted, and had been so long habituated to deceit, that, in order to extricatehimself from the evils that environed him, he would not, in all probability,have scrupled to practise it upon his own father, had a convenient opportunityoccurred.Be that as it may, he certainly, after a tedious and fruitless exercise of hisinvention, resolved to effect a clandestine retreat from that confederacy ofenemies which he could not withstand, and once more join his fortune to that ofRenaldo, whom he proposed to serve, for the future, with fidelity andaffection, thereby endeavouring to atone for the treachery of his formerconduct. Thus determined, he packed up his necessaries in a portmanteau,attempted to amuse his creditors with promises of speedy payment, and,venturing to come forth in the dark, took a place in the Canterburystage-coach, after having converted his superfluities into ready money.",penitence,sorrow,reformation,desperation,resolve,0.00096
"The Countess and Mrs. Farrel were no sooner informed of his case than theyhastened to the melancholy scene, where they found Renaldo deprived of hissenses, panting under the rage of an exasperated disease. They saw his facedistorted, and his eyes glaring with frenzy; they heard him invoke the name ofMonimia with a tenderness of accent which even the impulse of madness could notdestroy. Then, with a sudden transition of tone and gesture, he denouncedvengeance against her betrayer, and called upon the north wind to cool thefervour of his brain. His hair hung in dishevelled parcels, his cheeks werewan, his looks ghastly, his vigour was fled, and all the glory of his youthfaded; the physician hung his head in silence, the attendants wrung their handsin despair, and the countenance of his friend was bathed in tears.Such a picture would have moved the most obdurate heart; what impression thenmust it have made upon a parent and sister, melting with all the enthusiasm ofaffection! The mother was struck dumb, and stupefied with grief; the sisterthrew herself on the bed in a transport of sorrow, caught her loved Renaldo inher arms, and was, with great difficulty, torn from his embrace. Such was thedismal reverse that overtook the late so happy family of Melvil; such was theextremity to which the treachery of Fathom had reduced his best benefactor!",melancholy,distress,grief,despair,betrayal,0.00096
"“Signior Don Diego,” replied the other in pure Castilian, “I crave your pardonfor the rudeness of my curiosity, which prompted me to survey a nobleman, whosecharacter I revere, and to whose misfortunes I am no stranger. Indeed, werecuriosity alone concerned, I should be without excuse; but as I am heartilyinclined to serve you, as far as my weak abilities extend, I hope yourgenerosity will not impute any little involuntary trespass of punctilio to mywant of cordiality or esteem.”The Spaniard was not only appeased by this apology, but also affected with thecompliment, and the language in which it was conveyed. He thanked the Jew forhis kind declaration, entreated him to bear, with the peevishness of adisposition sore with the galling hand of affliction; and, turning up his eyesto Heaven, “Were it possible,” cried he, “for fate to reconcile contradictions,and recall the irremediable current of events, I would now believe that therewas happiness still in reserve for the forlorn Zelos, now that I tread the landof freedom and humanity, now that I find myself befriended by the most generousof men. Alas! I ask not happiness! If, by the kind endeavours of the gallantCount de Melvil, to whom I am already indebted for my life, and by the effortsof his friends, the honour of my name shall be purified and cleared from thepoisonous stains of malice by which it is at present spotted, I shall thenenjoy all that satisfaction which destiny can bestow upon a wretch whose woesare incurable.”",gratitude,respect,hope,admiration,gratitude,0.00097
"All the previous steps being taken for the solemnisation of this interestingevent, and the hour of appointment arrived, the bridegroom, accompanied by hisfather-in-law, hastened to the place of rendezvous, which was the vestry-roomof the church we have already described; where they were received by the goodclergyman in his canonicals; and here they had not waited many minutes, whenthey were joined by Madam Clement and the amiable bride, escorted by thefriendly physician, who had all along borne such a share in their concerns.Serafina was dressed in a sack of white satin, and the ornaments of her headwere adjusted in the Spanish fashion, which gave a peculiar air to herappearance, and an additional spirit to those attractions which engaged theheart of each beholder. There was nothing remarkable in the habit of Renaldo,who had copied the plainness and elegance of his mistress; but, when sheentered the place, his features were animated with a double proportion ofvivacity, and their eyes meeting, seemed to kindle a blaze which diffusedwarmth and joy through the countenances of all present.After a short pause, her father led her to the altar, and gave her away to thetransported Renaldo, before the priest who performed the ceremony, and bestowedthe nuptial benediction on this enraptured pair. The sanction of the churchbeing thus obtained, they withdrew into the vestry, where Melvil sealed histitle on her rosy lips, and presented his wife to the company, who embraced herin their turns, with fervent wishes for their mutual happiness.",joy,love,warmth,excitement,happiness,0.00097
"Six years have passed since I resolved on my present undertaking. I can, evennow, remember the hour from which I dedicated myself to this great enterprise.I commenced by inuring my body to hardship. I accompanied the whale-fishers onseveral expeditions to the North Sea; I voluntarily endured cold, famine,thirst, and want of sleep; I often worked harder than the common sailors duringthe day and devoted my nights to the study of mathematics, the theory ofmedicine, and those branches of physical science from which a naval adventurermight derive the greatest practical advantage. Twice I actually hired myself asan under-mate in a Greenland whaler, and acquitted myself to admiration. I mustown I felt a little proud when my captain offered me the second dignity in thevessel and entreated me to remain with the greatest earnestness, so valuabledid he consider my services.And now, dear Margaret, do I not deserve to accomplish some great purpose? Mylife might have been passed in ease and luxury, but I preferred glory to everyenticement that wealth placed in my path. Oh, that some encouraging voice wouldanswer in the affirmative! My courage and my resolution is firm; but my hopesfluctuate, and my spirits are often depressed. I am about to proceed on a longand difficult voyage, the emergencies of which will demand all my fortitude: Iam required not only to raise the spirits of others, but sometimes to sustainmy own, when theirs are failing.",determination,pride,hope,doubt,courage,0.00093
"I had sufficient leisure for these and many other reflections during my journeyto Ingolstadt, which was long and fatiguing. At length the high white steepleof the town met my eyes. I alighted and was conducted to my solitary apartmentto spend the evening as I pleased.The next morning I delivered my letters of introduction and paid a visit tosome of the principal professors. Chance—or rather the evil influence, theAngel of Destruction, which asserted omnipotent sway over me from the moment Iturned my reluctant steps from my father’s door—led me first to M. Krempe,professor of natural philosophy. He was an uncouth man, but deeply imbued inthe secrets of his science. He asked me several questions concerning myprogress in the different branches of science appertaining to naturalphilosophy. I replied carelessly, and partly in contempt, mentioned the namesof my alchemists as the principal authors I had studied. The professor stared.“Have you,” he said, “really spent your time in studying such nonsense?”I replied in the affirmative. “Every minute,” continued M. Krempe with warmth,“every instant that you have wasted on those books is utterly and entirelylost. You have burdened your memory with exploded systems and useless names.Good God! In what desert land have you lived, where no one was kind enough toinform you that these fancies which you have so greedily imbibed are a thousandyears old and as musty as they are ancient? I little expected, in thisenlightened and scientific age, to find a disciple of Albertus Magnus andParacelsus. My dear sir, you must begin your studies entirely anew.”",reflection,dread,contempt,shock,disbelief,0.00093
"It was completely dark when I arrived in the environs of Geneva; the gates ofthe town were already shut; and I was obliged to pass the night at Secheron, avillage at the distance of half a league from the city. The sky was serene;and, as I was unable to rest, I resolved to visit the spot where my poorWilliam had been murdered. As I could not pass through the town, I was obligedto cross the lake in a boat to arrive at Plainpalais. During this short voyageI saw the lightning playing on the summit of Mont Blanc in the most beautifulfigures. The storm appeared to approach rapidly, and, on landing, I ascended alow hill, that I might observe its progress. It advanced; the heavens wereclouded, and I soon felt the rain coming slowly in large drops, but itsviolence quickly increased.I quitted my seat, and walked on, although the darkness and storm increasedevery minute, and the thunder burst with a terrific crash over my head. It wasechoed from Salêve, the Juras, and the Alps of Savoy; vivid flashes oflightning dazzled my eyes, illuminating the lake, making it appear like a vastsheet of fire; then for an instant every thing seemed of a pitchy darkness,until the eye recovered itself from the preceding flash. The storm, as is oftenthe case in Switzerland, appeared at once in various parts of the heavens. Themost violent storm hung exactly north of the town, over the part of the lakewhich lies between the promontory of Belrive and the village of Copêt. Anotherstorm enlightened Jura with faint flashes; and another darkened and sometimesdisclosed the Môle, a peaked mountain to the east of the lake.",serene,awe,fear,loneliness,wonder,0.00105
"“It was dark when I awoke; I felt cold also, and half frightened, as it were,instinctively, finding myself so desolate. Before I had quitted your apartment,on a sensation of cold, I had covered myself with some clothes, but these wereinsufficient to secure me from the dews of night. I was a poor, helpless,miserable wretch; I knew, and could distinguish, nothing; but feeling paininvade me on all sides, I sat down and wept.“Soon a gentle light stole over the heavens and gave me a sensation ofpleasure. I started up and beheld a radiant form rise from among the trees.[The moon] I gazed with a kind of wonder. It moved slowly, but it enlightenedmy path, and I again went out in search of berries. I was still cold when underone of the trees I found a huge cloak, with which I covered myself, and satdown upon the ground. No distinct ideas occupied my mind; all was confused. Ifelt light, and hunger, and thirst, and darkness; innumerable sounds rang in myears, and on all sides various scents saluted me; the only object that I coulddistinguish was the bright moon, and I fixed my eyes on that with pleasure.“Several changes of day and night passed, and the orb of night had greatlylessened, when I began to distinguish my sensations from each other. Igradually saw plainly the clear stream that supplied me with drink and thetrees that shaded me with their foliage. I was delighted when I firstdiscovered that a pleasant sound, which often saluted my ears, proceeded fromthe throats of the little winged animals who had often intercepted the lightfrom my eyes. I began also to observe, with greater accuracy, the forms thatsurrounded me and to perceive the boundaries of the radiant roof of light whichcanopied me.",desolation,fear,confusion,delight,discovery,0.00105
"“The winter advanced, and an entire revolution of the seasons had taken placesince I awoke into life. My attention at this time was solely directed towardsmy plan of introducing myself into the cottage of my protectors. I revolvedmany projects, but that on which I finally fixed was to enter the dwelling whenthe blind old man should be alone. I had sagacity enough to discover that theunnatural hideousness of my person was the chief object of horror with thosewho had formerly beheld me. My voice, although harsh, had nothing terrible init; I thought, therefore, that if in the absence of his children I could gainthe good will and mediation of the old De Lacey, I might by his means betolerated by my younger protectors.“One day, when the sun shone on the red leaves that strewed the ground anddiffused cheerfulness, although it denied warmth, Safie, Agatha, and Felixdeparted on a long country walk, and the old man, at his own desire, was leftalone in the cottage. When his children had departed, he took up his guitar andplayed several mournful but sweet airs, more sweet and mournful than I had everheard him play before. At first his countenance was illuminated with pleasure,but as he continued, thoughtfulness and sadness succeeded; at length, layingaside the instrument, he sat absorbed in reflection.",anticipation,intrigue,loneliness,desperation,hope,0.00094
"If this journey had taken place during my days of study and happiness, it wouldhave afforded me inexpressible pleasure. But a blight had come over myexistence, and I only visited these people for the sake of the information theymight give me on the subject in which my interest was so terribly profound.Company was irksome to me; when alone, I could fill my mind with the sights ofheaven and earth; the voice of Henry soothed me, and I could thus cheat myselfinto a transitory peace. But busy, uninteresting, joyous faces brought backdespair to my heart. I saw an insurmountable barrier placed between me and myfellow men; this barrier was sealed with the blood of William and Justine, andto reflect on the events connected with those names filled my soul withanguish.But in Clerval I saw the image of my former self; he was inquisitive andanxious to gain experience and instruction. The difference of manners which heobserved was to him an inexhaustible source of instruction and amusement. Hewas also pursuing an object he had long had in view. His design was to visitIndia, in the belief that he had in his knowledge of its various languages, andin the views he had taken of its society, the means of materially assisting theprogress of European colonization and trade. In Britain only could he furtherthe execution of his plan. He was for ever busy, and the only check to hisenjoyments was my sorrowful and dejected mind. I tried to conceal this as muchas possible, that I might not debar him from the pleasures natural to one whowas entering on a new scene of life, undisturbed by any care or bitterrecollection. I often refused to accompany him, alleging another engagement,that I might remain alone.",melancholy,yearning,isolation,guilt,admiration,0.00094
"The season of the assizes approached. I had already been three months inprison, and although I was still weak and in continual danger of a relapse, Iwas obliged to travel nearly a hundred miles to the country town where thecourt was held. Mr. Kirwin charged himself with every care of collectingwitnesses and arranging my defence. I was spared the disgrace of appearingpublicly as a criminal, as the case was not brought before the court thatdecides on life and death. The grand jury rejected the bill, on its beingproved that I was on the Orkney Islands at the hour the body of my friend wasfound; and a fortnight after my removal I was liberated from prison.My father was enraptured on finding me freed from the vexations of a criminalcharge, that I was again allowed to breathe the fresh atmosphere and permittedto return to my native country. I did not participate in these feelings, for tome the walls of a dungeon or a palace were alike hateful. The cup of life waspoisoned for ever, and although the sun shone upon me, as upon the happy andgay of heart, I saw around me nothing but a dense and frightful darkness,penetrated by no light but the glimmer of two eyes that glared upon me.Sometimes they were the expressive eyes of Henry, languishing in death, thedark orbs nearly covered by the lids and the long black lashes that fringedthem; sometimes it was the watery, clouded eyes of the monster, as I first sawthem in my chamber at Ingolstadt.",anxiety,relief,hope,despair,isolation,0.00097
"Our conversations are not always confined to his own history and misfortunes.On every point of general literature he displays unbounded knowledge and aquick and piercing apprehension. His eloquence is forcible and touching; norcan I hear him, when he relates a pathetic incident or endeavours to move thepassions of pity or love, without tears. What a glorious creature must he havebeen in the days of his prosperity, when he is thus noble and godlike in ruin!He seems to feel his own worth and the greatness of his fall.“When younger,” said he, “I believed myself destined for some great enterprise.My feelings are profound, but I possessed a coolness of judgment that fitted mefor illustrious achievements. This sentiment of the worth of my naturesupported me when others would have been oppressed, for I deemed it criminal tothrow away in useless grief those talents that might be useful to my fellowcreatures. When I reflected on the work I had completed, no less a one than thecreation of a sensitive and rational animal, I could not rank myself with theherd of common projectors. But this thought, which supported me in thecommencement of my career, now serves only to plunge me lower in the dust. Allmy speculations and hopes are as nothing, and like the archangel who aspired toomnipotence, I am chained in an eternal hell. My imagination was vivid, yet mypowers of analysis and application were intense; by the union of thesequalities I conceived the idea and executed the creation of a man. Even now Icannot recollect without passion my reveries while the work was incomplete. Itrod heaven in my thoughts, now exulting in my powers, now burning with theidea of their effects.",admiration,sadness,regret,passion,desolation,0.00097
"Catherine was disconcerted, and made no answer; but Lydia, with perfectindifference, continued to express her admiration of Captain Carter, andher hope of seeing him in the course of the day, as he was going thenext morning to London.“I am astonished, my dear,” said Mrs. Bennet, “that you should be soready to think your own children silly. If I wished to think slightinglyof anybody’s children, it should not be of my own, however.”“If my children are silly, I must hope to be always sensible of it.”“Yes; but as it happens, they are all of them very clever.”“This is the only point, I flatter myself, on which we do not agree. Ihad hoped that our sentiments coincided in every particular, but I mustso far differ from you as to think our two youngest daughters uncommonlyfoolish.”“Mamma,” cried Lydia, “my aunt says that Colonel Forster and CaptainCarter do not go so often to Miss Watson’s as they did when they firstcame; she sees them now very often standing in Clarke’s library.”Mrs. Bennet was prevented replying by the entrance of the footman with anote for Miss Bennet; it came from Netherfield, and the servant waitedfor an answer. Mrs. Bennet’s eyes sparkled with pleasure, and she waseagerly calling out, while her daughter read,—",disconcerted,indifference,astonished,sparkled with pleasure,eagerly,0.00099
